[238 238 238],[218 218 218],[211 211 211],[231 231 232],[238 238 238],[238 238 237],[238 238 238],[237 237 238],[238 238 238],[239 239 239],[240 240 240],[240 240 240],[242 242 240],[243 243 240],[240 240 239],[238 238 238],[238 238 238],[238 238 238],[239 239 239]
[251 251 252],[226 226 226],[217 217 217],[244 244 244],[253 253 253],[253 253 252],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[255 255 255]
[254 254 254],[226 226 228],[215 215 219],[245 245 245],[253 253 253],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[254 254 254]
[250 250 250],[232 232 233],[225 225 227],[247 247 247],[253 253 253],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[253 253 252],[255 255 253],[252 252 252],[251 251 252],[252 252 252],[252 252 252],[249 249 249]
[248 248 248],[229 229 235],[227 227 233],[250 250 250],[254 254 254],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[253 253 253],[252 252 253],[254 254 253],[255 255 254],[255 255 254],[252 252 253],[251 251 252],[252 252 252],[253 253 253],[249 249 249]
[251 251 251],[226 226 235],[222 222 232],[251 251 251],[255 255 254],[254 254 254],[254 254 254],[253 253 253],[253 253 253],[252 252 252],[254 254 253],[254 254 253],[223 223 237],[196 196 222],[231 232 241],[253 253 252],[254 254 254],[255 255 255],[253 253 253]
[252 252 252],[230 230 232],[222 222 226],[247 247 247],[255 255 254],[253 253 253],[253 253 253],[252 252 252],[252 252 252],[252 252 252],[254 254 254],[232 232 241],[147 148 196],[112 113 177],[200 201 223],[254 254 254],[255 255 254],[255 255 255],[254 254 254]
[251 251 251],[228 228 227],[220 220 220],[245 245 245],[254 254 254],[253 253 253],[253 253 253],[252 252 252],[252 252 252],[254 254 253],[254 254 254],[191 191 220],[105 106 174],[ 94  95 167],[182 183 214],[251 252 253],[255 255 254],[255 255 255],[254 254 254]
[251 252 251],[227 227 228],[220 220 221],[246 246 246],[254 254 254],[253 253 253],[253 253 253],[252 252 252],[252 252 252],[255 255 253],[246 246 249],[162 163 205],[137 138 190],[138 138 190],[163 165 204],[241 242 246],[255 255 255],[255 255 255],[253 253 253]
[253 252 252],[231 230 233],[222 222 224],[244 244 245],[253 253 253],[253 253 253],[253 253 253],[252 252 252],[252 252 252],[255 255 254],[231 231 241],[154 154 200],[191 192 219],[176 176 210],[154 156 200],[235 236 243],[255 255 255],[255 255 255],[253 253 253]
[253 251 252],[231 230 234],[216 215 219],[239 239 240],[251 251 251],[254 254 254],[253 253 253],[252 252 252],[253 253 252],[254 254 254],[234 234 242],[189 190 219],[219 219 234],[163 163 204],[173 174 210],[246 246 250],[255 255 255],[255 254 255],[253 252 253]
[252 251 252],[233 232 235],[214 213 216],[237 237 237],[251 251 251],[255 255 255],[254 254 254],[252 252 252],[252 252 252],[252 252 253],[251 251 251],[244 245 248],[238 237 244],[158 158 201],[175 175 211],[248 247 250],[255 255 254],[255 254 255],[253 252 253]
[253 251 252],[239 238 239],[220 219 219],[238 237 238],[251 251 251],[255 255 255],[254 254 254],[252 252 252],[252 252 252],[252 252 252],[253 253 252],[255 255 255],[249 248 249],[169 170 208],[158 158 201],[241 238 244],[255 255 255],[255 254 255],[253 252 253]
[253 251 252],[237 236 237],[219 218 219],[238 237 238],[251 251 251],[255 255 255],[254 254 254],[252 252 252],[252 252 252],[252 252 252],[252 252 252],[255 255 255],[236 237 244],[153 154 200],[173 172 208],[247 246 248],[255 255 255],[255 254 255],[253 252 253]
[253 251 252],[236 235 237],[215 214 218],[236 235 238],[251 251 251],[254 254 254],[253 253 253],[251 251 251],[252 252 252],[252 252 252],[253 253 252],[255 255 254],[226 226 239],[139 139 192],[189 189 218],[253 253 254],[255 255 254],[255 254 255],[253 251 252]
[254 252 252],[238 236 238],[212 210 218],[234 233 239],[253 253 253],[254 254 254],[252 252 252],[250 250 250],[252 252 252],[253 253 253],[253 253 253],[255 255 254],[232 232 241],[156 155 200],[196 195 222],[252 252 253],[254 252 252],[253 251 252],[251 250 251]
[254 252 252],[240 238 239],[220 219 222],[241 241 243],[255 255 255],[255 255 255],[254 254 254],[251 251 251],[252 252 252],[253 253 253],[253 253 253],[254 254 253],[247 247 249],[215 214 232],[227 226 238],[253 252 253],[252 251 252],[252 250 251],[251 250 251]
[247 245 246],[234 231 233],[219 218 217],[235 235 235],[246 246 246],[247 247 247],[245 245 245],[241 241 241],[241 241 241],[242 242 242],[242 242 242],[242 242 241],[243 242 242],[247 246 245],[245 244 244],[243 242 243],[243 241 242],[242 241 242],[241 240 241]
[227 224 226],[214 212 213],[198 196 197],[215 215 215],[226 226 226],[227 227 227],[225 225 225],[222 222 222],[224 224 224],[225 225 225],[225 225 225],[225 225 225],[225 224 225],[227 225 226],[228 225 226],[226 224 225],[227 224 226],[226 223 224],[225 222 223]
